0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:00:52 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7280
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:01:02 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7280
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:01:04 +0530] "GET /Online-Retail-Web-app/removeitem/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:01:44 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:01:47 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:01:49 +0530] "GET /Online-Retail-Web-app/detail%20%7D HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:01:52 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:03:05 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:03:10 +0530] "GET /Online-Retail-Web-app/detail%20%7D HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:04:22 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7276
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:04:24 +0530] "GET /Online-Retail-Web-app/detail%7D HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:05:42 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:05:44 +0530] "GET /Online-Retail-Web-app/detail HTTP/1.1" 200 5610
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:07:37 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10758
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:07:39 +0530] "GET /Online-Retail-Web-app/auth HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:07:47 +0530] "POST /Online-Retail-Web-app/checking HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:07:47 +0530] "GET /Online-Retail-Web-app/ HTTP/1.1" 200 10745
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:07:53 +0530] "GET /Online-Retail-Web-app/products/1 HTTP/1.1" 200 16031
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:07:54 +0530] "GET /Online-Retail-Web-app/productdetail/1 HTTP/1.1" 200 9556
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:07:56 +0530] "GET /Online-Retail-Web-app/Adetail/1 HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:08:00 +0530] "GET /Online-Retail-Web-app/cart HTTP/1.1" 200 7275
